,OBJECTID_1,INCIDENT_ID,OFFENSE_ID,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,TOP_TRAFFIC_ACCIDENT_OFFENSE,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,GEO_LON,GEO_LAT,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID,BICYCLE_IND,PEDESTRIAN_IND,HARMFUL_EVENT_SEQ_1,HARMFUL_EVENT_SEQ_2,HARMFUL_EVENT_SEQ_3,ROAD_LOCATION,ROAD_DESCRIPTION,ROAD_CONTOUR,ROAD_CONDITION,LIGHT_CONDITION,TU1_VEHICLE_TYPE,TU1_TRAVEL_DIRECTION,TU1_VEHICLE_MOVEMENT,TU1_DRIVER_ACTION,TU1_DRIVER_HUMANCONTRIBFACTOR,TU1_PEDESTRIAN_ACTION,TU2_VEHICLE_TYPE,TU2_TRAVEL_DIRECTION,TU2_VEHICLE_MOVEMENT,TU2_DRIVER_ACTION,TU2_DRIVER_HUMANCONTRIBFACTOR,TU2_PEDESTRIAN_ACTION,SERIOUSLY_INJURED,FATALITIES,FATALITY_MODE_1,FATALITY_MODE_2,SERIOUSLY_INJURED_MODE_1,SERIOUSLY_INJURED_MODE_2,HUMAN_FACTOR
41647,41648,2013614261.0,201361000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,55:00.0,,12/22/2013 6:50,S PLATTE RIVER DR / W MISSISSIPPI AVE,3142682.0,1679036.0,-104.99294669999999,39.69666094,4.0,422.0,Ruby Hill,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,SIDE TO SIDE SAME DIRECTION WITH MV IN TRANSPORT,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,WET,DARK-LIGHTED,SUV,EAST,GOING STRAIGHT,FAILED TO STOP AT SIGNAL,NO APPARENT,  ,SUV,SOUTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,SUV,  ,NO APPARENT
41664,41665,20132991821.0,2013300000000000.0,5441,0,TRAF - ACCIDENT               ,55:00.0,,55:00.0,100 BLOCK W COLFAX AVE,3143749.0,1694958.0,-104.9888365,39.74035364,6.0,611.0,Civic Center,1.0,0.0,BICYCLE WITH OTHER VEHICLE,FRONT TO REAR WITH MV IN TRANSPORT,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,BICYCLE,WEST,CHANGING LANES,LANE VIOLATION,NO APPARENT,OTHER,PASSENGER CAR/VAN,WEST,GOING STRAIGHT,OTHER,NO APPARENT,OTHER,1.0,0.0,  ,  ,BICYCLE,  ,NO APPARENT
41684,41685,20138001156.0,2013800000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,1/10/2013 14:53,,1/10/2013 17:19,I470 HWY_SB / PENA BLVD,,,,,5.0,,,0.0,0.0,OTHER-NONCOLLISION,OVERTURNING-NONCOLLISION,OVERTURNING-NONCOLLISION,RAN OFF RIGHT SIDE,HIGHWAY INTERCHANGE,STRAIGHT ON-LEVEL,DRY WITH VISIBLE ICY ROAD TREATMENT,DAY LIGHT,SUV,SOUTH,SPUN OUT OF CONTROL,EXCEED SAFE/POSTED SPEED,DRIVER UNFAMILIAR WITH AREA,  ,  ,  ,  ,  ,  ,  ,1.0,0.0,  ,  ,SUV,  ,DRIVER UNFAMILIAR WITH AREA
41697,41698,201323397.0,20132300000000.0,5441,2,TRAF - ACCIDENT - FATAL       ,1/15/2013 13:07,,1/15/2013 13:55,100 BLOCK S QUEBEC ST,3167787.0,1685654.0,-104.90357820000001,39.71441016,3.0,321.0,Lowry Field,0.0,0.0,SIDE TO SIDE SAME DIRECTION WITH MV IN TRANSPORT,CURB,OTHER FIXED OBJECT,RAN OFF LEFT SIDE,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,SUV,NORTH,OTHER,RECKLESS DRIVING,AGGRESSIVE DRIVING,  ,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,1.0,SUV,  ,  ,  ,AGGRESSIVE DRIVING
41729,41730,201369911.0,20137000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,2/12/2013 11:43,,2/12/2013 12:26,7400 BLOCK E HAMPDEN AVE,3168440.0,1663019.0,-104.90178689999999,39.65226032,3.0,324.0,Hampden South,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,INTERSECTION RELATED,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,WEST,CHANGING LANES,CARELESS DRIVING,  ,  ,  ,SOUTH,  ,OTHER,  ,CROSS/ENTER AT INTERSECTION,1.0,0.0,  ,  ,PEDESTRIAN,  ,  
41778,41779,20138004077.0,2013800000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,2/5/2013 16:45,,2/5/2013 16:45,SB E470 TO EB PENA RAMP / PENA BLVD,3213613.0,1729481.0,-104.7393859,39.83378064,7.0,759.0,DIA,0.0,0.0,SIGN,FENCE,FENCE,RAN OFF RIGHT SIDE,HIGHWAY INTERCHANGE,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,NORTH,OTHER,RECKLESS DRIVING,OTHER,  ,  ,  ,  ,  ,  ,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,OTHER
41798,41799,20138006892.0,2013800000000000.0,5441,0,TRAF - ACCIDENT               ,3/2/2013 7:00,,3/2/2013 7:22,PENA BLVD / E470 HWY,,,,,5.0,,,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,  ,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,WET WITH VISIBLE ICY ROAD TREATMENT,DAY LIGHT,PASSENGER CAR/VAN,SOUTH,GOING STRAIGHT,CARELESS DRIVING,OTHER,  ,PASSENGER CAR/VAN,SOUTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,OTHER
41832,41833,201387047.0,20138700000000.0,5441,0,TRAF - ACCIDENT               ,2/22/2013 15:35,,2/22/2013 15:41,E ALBROOK DR / N PEORIA ST,3183522.0,1710525.0,-104.84701240000001,39.78238776,5.0,511.0,Montbello,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,FRONT TO SIDE WITH MV IN TRANSPORT,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,SUV,NORTH,PASSING,CARELESS DRIVING,AGGRESSIVE DRIVING,  ,PASSENGER CAR/VAN,WEST,MAKING LEFT TURN,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,SUV,  ,AGGRESSIVE DRIVING
41838,41839,2013102703.0,201310000000000.0,5441,0,TRAF - ACCIDENT               ,42:00.0,,3/4/2013 10:04,I25 HWYNB / W 8TH AVE,3136459.0,1690899.0,-105.01483590000002,39.72932066,1.0,123.0,Lincoln Park,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,FRONT TO REAR WITH MV IN TRANSPORT,  ,ON ROADWAY,HIGHWAY INTERCHANGE,STRAIGHT ON-GRADE,WET,DAY LIGHT,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,FOLLOWED TOO CLOSELY,DISTRACTED-OTHER,  ,PASSENGER CAR/VAN,NORTH,STOPPED IN TRAFFIC,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,DISTRACTED
41842,41843,201355360.0,20135500000000.0,5441,1,TRAF - ACCIDENT - SBI         ,2/3/2013 13:20,,2/3/2013 14:24,1700 BLOCK E 14TH AVE,3150002.0,1694258.0,-104.9666163,39.73833333,6.0,622.0,Cheesman Park,0.0,1.0,PARKED MV WITH OTHER VEHICLE,PARKED MV WITH OTHER VEHICLE,PEDESTRIAN-OTHER,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,EAST,GOING STRAIGHT,CARELESS DRIVING,DUI/DWAI/DUID,  ,SUV,EAST,PARKED,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PEDESTRIAN,  ,DUI/DWAI/DUID
41898,41899,20138010201.0,2013800000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,3/28/2013 18:42,,3/28/2013 18:42,PENA BLVD / E470,,,,,7.0,,,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,OVERTURNING-NONCOLLISION,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,EAST,CHANGING LANES,RECKLESS DRIVING,AGGRESSIVE DRIVING,  ,PICKUP TRUCK/UTILITY VAN,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PICKUP TRUCK/UTILITY VAN,  ,AGGRESSIVE DRIVING
41966,41967,2013616645.0,201362000000000.0,5441,0,TRAF - ACCIDENT               ,12/23/2013 18:19,,12/23/2013 18:50,N KNOX CT / W 3RD AVE,3131511.0,1687965.0,-105.03248130000001,39.72133746,4.0,411.0,Barnum,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,FENCE,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-GRADE,DRY,DARK-LIGHTED,PASSENGER CAR/VAN,SOUTH,WEAVING,CARELESS DRIVING,DISTRACTED CELLPHONE,OTHER,PASSENGER CAR/VAN,SOUTH,PARKED,OTHER,NO APPARENT,OTHER,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,DISTRACTED
41977,41978,2013617195.0,201362000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,25:00.0,,12/24/2013 2:17,PARK AVEW / I25 HWYNB,3141968.0,1705025.0,-104.99497050000001,39.76801657,1.0,112.0,Globeville,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,SUV,NORTH,MAKING RIGHT TURN,RECKLESS DRIVING,DUI/DWAI/DUID,  ,PASSENGER CAR/VAN,WEST,STOPPED IN TRAFFIC,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,DUI/DWAI/DUID
42021,42022,2013726.0,201373000000.0,5441,1,TRAF - ACCIDENT - SBI         ,1/1/2013 8:50,,1/1/2013 9:19,E ALAMEDA AVE / S DAYTON ST,3175733.0,1683728.0,-104.875381,39.70897633,3.0,321.0,Lowry Field,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,SOUTH,MAKING LEFT TURN,FAILED TO YIELD ROW,NO APPARENT,  ,PASSENGER CAR/VAN,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,NO APPARENT
42086,42087,20138016080.0,2013800000000000.0,5441,0,TRAF - ACCIDENT               ,5/14/2013 13:15,,5/14/2013 13:42,8400 PENA BLVD,3231977.0,1735292.0,-104.67381230000001,39.84929165,7.0,759.0,DIA,0.0,1.0,CURB,CURB,CURB,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,STANDING IN ROADWAY,  ,  ,  ,  ,  ,  ,1.0,0.0,  ,  ,PEDESTRIAN,  ,NO APPARENT
42107,42108,20138020724.0,2013800000000000.0,5441,0,TRAF - ACCIDENT               ,6/19/2013 8:00,,6/19/2013 8:00,24530 E 78TH AVE,3224411.0,1730663.0,-104.7009023,39.83677081,7.0,759.0,DIA,0.0,1.0,PEDESTRIAN-OTHER,PEDESTRIAN-OTHER,PEDESTRIAN-OTHER,ON PRIVATE PROPERTY,PARKING LOT,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,NORTH,BACKING,CARELESS DRIVING,OTHER,  ,  ,  ,  ,  ,  ,OTHER,1.0,0.0,  ,  ,PEDESTRIAN,  ,OTHER
42108,42109,20138020995.0,2013800000000000.0,5441,0,TRAF - ACCIDENT               ,6/21/2013 7:00,,6/21/2013 7:05,6975 VALLEYHEAD STREET,,,,,7.0,,,0.0,0.0,LIGHT/UTILITY POLE,  ,  ,ON PRIVATE PROPERTY,PARKING LOT,STRAIGHT ON-GRADE,DRY,DAY LIGHT,PASSENGER CAR/VAN,SOUTHWEST,MAKING LEFT TURN,CARELESS DRIVING,DRIVER UNFAMILIAR WITH AREA,  ,  ,  ,  ,  ,  ,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,DRIVER UNFAMILIAR WITH AREA
42175,42176,2013618511.0,201362000000000.0,5441,2,TRAF - ACCIDENT - FATAL       ,12/25/2013 0:15,,12/25/2013 0:15,E 51ST AVE / N PEORIA ST,3183482.0,1713034.0,-104.8470906,39.78927602,5.0,511.0,Montbello,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,SUV,NORTH,GOING STRAIGHT,FAILED TO STOP AT SIGNAL,DUI/DWAI/DUID,  ,PASSENGER CAR/VAN,WEST,MAKING LEFT TURN,OTHER,NO APPARENT,  ,2.0,1.0,PASSENGER CAR/VAN,  ,PASSENGER CAR/VAN,PASSENGER CAR/VAN,DUI/DWAI/DUID
42183,42184,2013618900.0,201362000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,24:00.0,,12/25/2013 12:49,W 13TH AVE / N SPEER BLVD,3141608.0,1693674.0,-104.996475,39.73686165,1.0,123.0,Lincoln Park,0.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-GRADE,DRY,DAY LIGHT,SUV,WEST,GOING STRAIGHT,FAILED TO STOP AT SIGNAL,DISTRACTED-OTHER,  ,PASSENGER CAR/VAN,SOUTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,2.0,0.0,  ,  ,PASSENGER CAR/VAN,PASSENGER CAR/VAN,DISTRACTED
42297,42298,2013621001.0,201362000000000.0,5441,2,TRAF - ACCIDENT - FATAL       ,12/27/2013 1:08,,12/27/2013 1:37,20TH ST / I25 HWYNB,3139350.0,1702436.0,-105.0043337,39.76094894,1.0,113.0,Highland,0.0,0.0,CURB,HIGHWAY BARRIER,HIGHWAY BARRIER,ON ROADWAY,HIGHWAY INTERCHANGE,STRAIGHT ON-GRADE,DRY,DARK-LIGHTED,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,LANE VIOLATION,NO APPARENT,  ,  ,  ,  ,  ,  ,  ,0.0,1.0,PASSENGER CAR/VAN,  ,  ,  ,NO APPARENT
42352,42353,20134504.0,2013450000000.0,5441,1,TRAF - ACCIDENT - SBI         ,1/3/2013 19:07,,1/3/2013 19:46,S PARKER RD / E HARVARD AVE,3177840.0,1670499.0,-104.8682192,39.67261999,3.0,323.0,Hampden,1.0,0.0,BICYCLE WITH OTHER VEHICLE,  ,BICYCLE WITH OTHER VEHICLE,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-GRADE,DRY,DARK-LIGHTED,BICYCLE,WEST,GOING STRAIGHT,CARELESS DRIVING,DUI/DWAI/DUID,  ,PASSENGER CAR/VAN,SOUTHEAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,BICYCLE,  ,DUI/DWAI/DUID
42367,42368,2013605893.0,201361000000000.0,5441,2,TRAF - ACCIDENT - FATAL       ,12/17/2013 13:55,,12/17/2013 14:16,E MEXICO AVE / S JACKSON ST,3156754.0,1675120.0,-104.9430251,39.68568441,3.0,312.0,Cory - Merrill,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,  ,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-GRADE,DRY,DAY LIGHT,SUV,WEST,GOING STRAIGHT,LANE VIOLATION,ILLNESS/MEDICAL,  ,OTHER,NORTHWEST,MAKING RIGHT TURN,OTHER,NO APPARENT,  ,0.0,1.0,SUV,  ,  ,  ,ILLNESS/MEDICAL
42389,42390,2013621619.0,201362000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,12/27/2013 12:26,,12/27/2013 16:04,W ALAMEDA AVE / S YUMA ST,3136582.0,1684291.0,-105.01452420000001,39.71117855,4.0,412.0,Athmar Park,0.0,0.0,SIDE TO SIDE SAME DIRECTION WITH MV IN TRANSPORT,  ,SIDE TO SIDE SAME DIRECTION WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,SUV,EAST,CHANGING LANES,CARELESS DRIVING,NO APPARENT,  ,PASSENGER CAR/VAN,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,NO APPARENT
42470,42471,2013606388.0,201361000000000.0,5441,0,TRAF - ACCIDENT               ,12/17/2013 19:04,,42:00.0,505 S BROADWAY ST,3143784.0,1682972.0,-104.9889518,39.70744917,3.0,312.0,Baker,0.0,0.0,FRONT TO FRONT WITH MV IN TRANSPORT,  ,FRONT TO FRONT WITH MV IN TRANSPORT,ON ROADWAY,PARKING LOT,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,CARELESS DRIVING,OTHER,  ,PASSENGER CAR/VAN,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,OTHER
42488,42489,2013622177.0,201362000000000.0,5420,0,TRAF - ACCIDENT - DUI/DUID    ,12/27/2013 19:05,,12/27/2013 19:05,I25 HWYNB / 20TH ST,3139350.0,1702436.0,-105.0043337,39.76094894,1.0,113.0,Highland,0.0,0.0,GUARD RAIL,  ,GUARD RAIL,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,CARELESS DRIVING,DUI/DWAI/DUID,  ,  ,  ,  ,  ,  ,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,DUI/DWAI/DUID
42536,42537,20138043436.0,2013800000000000.0,5441,0,TRAF - ACCIDENT               ,40:00.0,,12/18/2013 6:45,PENA BLVD INBOUND / N TOWER RD,3204462.0,1729266.0,-104.7719747,39.83339628,5.0,522.0,DIA,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,FRONT TO REAR WITH MV IN TRANSPORT,FRONT TO REAR WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-GRADE,DRY,DAY LIGHT,PASSENGER CAR/VAN,EAST,GOING STRAIGHT,FOLLOWED TOO CLOSELY,NO APPARENT,  ,PICKUP TRUCK/UTILITY VAN,EAST,SLOWING,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,NO APPARENT
42559,42560,2013229278.0,201323000000000.0,5441,0,TRAF - ACCIDENT               ,5/22/2013 18:10,,5/22/2013 19:42,CHESTNUT PL / 20TH ST,3140975.0,1701279.0,-104.99857649999998,39.75774831,6.0,612.0,Union Station,1.0,0.0,FRONT TO FRONT WITH MV IN TRANSPORT,  ,FRONT TO FRONT WITH MV IN TRANSPORT,ON ROADWAY,AT INTERSECTION,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,NORTHEAST,MAKING LEFT TURN,FAILED TO YIELD ROW,NO APPARENT,  ,BICYCLE,SOUTHWEST,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,BICYCLE,  ,NO APPARENT
42594,42595,2013334026.0,201333000000000.0,5441,0,TRAF - ACCIDENT               ,7/18/2013 23:45,,7/18/2013 23:45,I70 HWYEB / N HAVANA ST,3178275.0,1708023.0,-104.8657432,39.77562153,5.0,512.0,Stapleton,0.0,0.0,SIDE TO SIDE SAME DIRECTION WITH MV IN TRANSPORT,  ,SIDE TO SIDE SAME DIRECTION WITH MV IN TRANSPORT,ON ROADWAY,HIGHWAY INTERCHANGE,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,MOTORCYCLE,EAST,GOING STRAIGHT,CARELESS DRIVING,DISTRACTED-OTHER,  ,VEHICLE OVER 10000 LBS,EAST,OTHER,IMPROPER BACKING,NO APPARENT,  ,1.0,0.0,  ,  ,MOTORCYCLE,  ,DISTRACTED
42614,42615,2013167354.0,201317000000000.0,5441,1,TRAF - ACCIDENT - SBI         ,4/14/2013 20:00,,4/14/2013 20:33,S BROADWAY ST / E OHIO AVE,3144273.0,1680990.0,-104.98725359999999,39.70200059,3.0,312.0,Washington Park West,0.0,0.0,EMBANKMENT,LIGHT/UTILITY POLE,LIGHT/UTILITY POLE,RAN OFF 'T' INTERSECTION,AT INTERSECTION,CURVE ON-LEVEL,DRY,DARK-LIGHTED,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,CARELESS DRIVING,DUI/DWAI/DUID,  ,  ,  ,  ,  ,  ,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,DUI/DWAI/DUID
42622,42623,2013136560.0,201314000000000.0,5441,0,TRAF - ACCIDENT               ,3/26/2013 13:03,,23:00.0,I25 HWYNB / I225 HWYNB,3167089.0,1656410.0,-104.9067381,39.63414123,3.0,324.0,Hampden South,0.0,0.0,SIDE TO SIDE SAME DIRECTION WITH MV IN TRANSPORT,  ,  ,ON ROADWAY,HIGHWAY INTERCHANGE,CURVE ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,NORTH,CHANGING LANES,CARELESS DRIVING,ILLNESS/MEDICAL,  ,PICKUP TRUCK/UTILITY VAN WITH TRAILIER,NORTH,GOING STRAIGHT,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,ILLNESS/MEDICAL
42636,42637,2013124101.0,201312000000000.0,5441,0,TRAF - ACCIDENT               ,3/17/2013 15:22,,3/17/2013 15:22,I70 HWYEB / N HAVANA ST OFF RAMP,3178234.0,1708027.0,-104.865889,39.775633299999996,5.0,512.0,Stapleton,0.0,0.0,OTHER OBJECT,  ,OTHER OBJECT,ON ROADWAY,HIGHWAY INTERCHANGE,CURVE ON-LEVEL,DRY,DAY LIGHT,PASSENGER CAR/VAN,EAST,GOING STRAIGHT,CARELESS DRIVING,OTHER,  ,  ,  ,  ,  ,  ,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,OTHER
42658,42659,2013197830.0,201320000000000.0,5441,0,TRAF - ACCIDENT               ,5/4/2013 6:00,,5/4/2013 6:14,I25 HWYNB / 20TH ST,3139350.0,1702436.0,-105.0043337,39.76094894,1.0,113.0,Highland,0.0,0.0,HIGHWAY BARRIER,  ,HIGHWAY BARRIER,ON ROADWAY,HIGHWAY INTERCHANGE,STRAIGHT ON-LEVEL,DRY,DAWN OR DUSK,PASSENGER CAR/VAN,NORTH,GOING STRAIGHT,CARELESS DRIVING,ASLEEP AT THE WHEEL,  ,  ,  ,  ,  ,  ,  ,2.0,0.0,  ,  ,PASSENGER CAR/VAN,PASSENGER CAR/VAN,ASLEEP AT THE WHEEL
42735,42736,2013232103.0,201323000000000.0,5441,0,TRAF - ACCIDENT               ,5/24/2013 11:16,,5/24/2013 12:28,I70 HWYWB / CENTRAL PARK BLVD,,,,,5.0,,,0.0,0.0,FRONT TO REAR WITH MV IN TRANSPORT,  ,  ,ON ROADWAY,HIGHWAY INTERCHANGE,STRAIGHT ON-GRADE,DRY,DAY LIGHT,PASSENGER CAR/VAN,WEST,GOING STRAIGHT,CARELESS DRIVING,ILLNESS/MEDICAL,  ,PICKUP TRUCK/UTILITY VAN,WEST,STOPPED IN TRAFFIC,OTHER,NO APPARENT,  ,1.0,0.0,  ,  ,PASSENGER CAR/VAN,  ,ILLNESS/MEDICAL
42751,42752,2013215093.0,201322000000000.0,5441,2,TRAF - ACCIDENT - FATAL       ,57:00.0,,57:00.0,1500 BLOCK N BROADWAY ST,3144181.0,1694997.0,-104.9872996,39.74045402,6.0,621.0,North Capitol Hill,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,  ,DRIVEWAY ACCESS RELATED,STRAIGHT ON-LEVEL,DRY,DAY LIGHT,PICKUP TRUCK/UTILITY VAN,WEST,GOING STRAIGHT,CARELESS DRIVING,OTHER,  ,OTHER,NORTH,GOING STRAIGHT,  ,  ,OTHER,0.0,1.0,OTHER,  ,  ,  ,OTHER
42757,42758,2013295970.0,201330000000000.0,5441,2,TRAF - ACCIDENT - FATAL       ,54:00.0,,54:00.0,3400 BLOCK W ALAMEDA AVE,3131709.0,1684247.0,-105.0318456,39.71112797,4.0,412.0,Westwood,0.0,1.0,PEDESTRIAN-OTHER,  ,PEDESTRIAN-OTHER,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,WET,DARK-LIGHTED,  ,NORTH,OTHER,  ,DUI/DWAI/DUID,OTHER,TRANSIT BUS,EAST,GOING STRAIGHT,OTHER,NO APPARENT,  ,0.0,1.0,PEDESTRIAN,  ,  ,  ,DUI/DWAI/DUID
42808,42809,2013155096.0,201316000000000.0,5441,0,TRAF - ACCIDENT               ,4/6/2013 22:46,,4/6/2013 22:46,1500 BLOCK WYNKOOP ST,3140086.0,1698828.0,-105.0017862,39.75103333,6.0,612.0,Union Station,1.0,0.0,FRONT TO SIDE WITH MV IN TRANSPORT,  ,FRONT TO SIDE WITH MV IN TRANSPORT,ON ROADWAY,NON INTERSECTION,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,BICYCLE,NORTHEAST,GOING STRAIGHT,CARELESS DRIVING,AGGRESSIVE DRIVING,  ,PASSENGER CAR/VAN,NORTHEAST,ENTERING/LEAVING PARKED POSITION,CARELESS DRIVING,AGGRESSIVE DRIVING,  ,1.0,0.0,  ,  ,BICYCLE,  ,AGGRESSIVE DRIVING
42866,42867,2013301922.0,201330000000000.0,5441,0,TRAF - ACCIDENT               ,7/1/2013 23:40,,55:00.0,W 6TH AVE / I25 HWYNB,3136947.0,1689523.0,-105.01312720000001,39.72553610000001,1.0,311.0,Baker,0.0,0.0,OTHER-NONCOLLISION,CURB,OTHER-NONCOLLISION,RAN OFF LEFT SIDE,HIGHWAY INTERCHANGE,CURVE ON-GRADE,WET,DARK-LIGHTED,MOTORCYCLE,NORTHEAST,MAKING RIGHT TURN,CARELESS DRIVING,OTHER,  ,  ,  ,  ,  ,  ,  ,1.0,0.0,  ,  ,MOTORCYCLE,  ,OTHER
